file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,157,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,3
style.css,158,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,10
style.css,159,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,13
style.css,160,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,59
style.css,161,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,9
style.css,162,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,16
style.css,163,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,0
style.css,164,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,0
style.css,165,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,18
style.css,166,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,29
style.css,167,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,20
style.css,168,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,0
style.css,169,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,0
style.css,170,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,14
style.css,171,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,21
style.css,172,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,16
style.css,173,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,14
style.css,174,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,26
style.css,175,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,17
style.css,176,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,0
style.css,177,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,0
style.css,178,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,20
style.css,179,css,c85d538c,Yixuan Xin,2025-04-26,23:10:32,-07:00,2025-04-26T23:10:32-07:00,0,14
style.css,180,css,372f7a35,Yixuan Xin,2025-04-26,20:59:41,-07:00,2025-04-26T20:59:41-07:00,0,0
style.css,181,css,7feec8af,Yixuan Xin,2025-04-30,20:41:46,-07:00,2025-04-30T20:41:46-07:00,0,0
style.css,182,css,7feec8af,Yixuan Xin,2025-04-30,20:41:46,-07:00,2025-04-30T20:41:46-07:00,0,0
style.css,183,css,98766751,Yixuan Xin,2025-05-02,22:57:03,-07:00,2025-05-02T22:57:03-07:00,0,9
style.css,184,css,98766751,Yixuan Xin,2025-05-02,22:57:03,-07:00,2025-05-02T22:57:03-07:00,0,12
